Sale_ID,Date_ID,Product_ID,Doctor_ID,Distributor_ID,Territory_ID,Units_Sold,Unit_Price,Discount,Revenue,Cost,Profit
S000093,20230630,P034,D0160,DT0009,T016,590,146.96,537.72,86168.68,40822.1,45346.58
S000094,20240123,P011,D0075,DT0050,T022,287,113.77,386.7,32265.29,17905.93,14359.36
S000095,20240626,P050,D0248,DT0029,T017,437,40.09,820.77,16698.56,9557.19,7141.37
S000096,20251113,P014,D0063,DT0072,T009,325,129.29,738.88,41280.37,21001.5,20278.87
S000097,20231027,P009,D0035,DT0032,T023,528,34.81,76.19,18303.49,12339.36,5964.13
S000098,20230425,P043,D0202,DT0065,T006,85,854.93,5220.16,67448.89,37506.25,29942.64
S000099,20230823,P046,D0245,DT0071,T007,167,159.08,1173.46,25392.9,12808.9,12584.0
S000100,20251209,P017,D0091,DT0019,T009,91,131.35,708.53,11244.32,4891.25,6353.07
S000101,20250116,P041,D0213,DT0026,T003,236,154.84,478.28,36063.96,19271.76,16792.2
S000102,20250519,P031,D0158,DT0034,T014,108,135.82,615.28,14053.28,7485.48,6567.8
S000103,20241216,P023,D0112,DT0093,T018,452,158.55,1437.2,70227.4,37574.76,32652.64
S000104,20241215,P020,D0095,DT0031,T011,177,99.93,1014.51,16673.1,8894.25,7778.85
S000105,20230403,P004,D0008,DT0004,T026,588,76.99,1422.01,43848.11,27659.52,16188.59
S000106,20230126,P014,D0070,DT0073,T024,240,129.34,1077.34,29964.26,15508.8,14455.46
S000107,20240312,P004,D0002,DT0007,T005,521,73.62,1976.09,36379.93,24507.84,11872.09
S000108,20231229,P014,D0295,DT0078,T010,479,134.68,2155.96,62355.76,30952.98,31402.78
S000109,20240123,P004,D0001,DT0028,T006,662,72.95,3154.34,45138.56,31140.48,13998.08
S000110,20250628,P028,D0255,DT0093,T014,84,275.27,1308.22,21814.46,13130.88,8683.58
S000111,20250429,P035,D0155,DT0044,T015,521,168.67,6736.98,81140.09,57247.48,23892.61
S000112,20240110,P020,D0089,DT0089,T006,246,100.22,200.43,24453.69,12361.5,12092.19
S000113,20250925,P050,D0234,DT0054,T005,519,39.79,201.7,20449.31,11350.53,9098.78
S000114,20250718,P030,D0131,DT0065,T030,378,73.73,1904.81,25965.13,16000.74,9964.39
S000115,20231126,P033,D0164,DT0022,T011,202,156.92,897.82,30800.02,18113.34,12686.68
S000116,20230822,P041,D0215,DT0048,T017,166,149.13,1026.46,23729.12,13555.56,10173.56
S000117,20240225,P045,D0208,DT0073,T024,79,61.63,32.68,4836.09,2911.15,1924.94
S000118,20251009,P030,D0131,DT0084,T030,83,71.66,457.68,5490.1,3513.39,1976.71
S000119,20240424,P021,D0106,DT0048,T029,296,86.03,85.65,25379.23,18369.76,7009.47
S000120,20230626,P038,D0180,DT0036,T001,286,62.41,1405.39,16443.87,11494.34,4949.53
S000121,20250729,P046,D0236,DT0090,T010,626,156.6,5362.82,92668.78,48014.2,44654.58
S000122,20230606,P033,D0170,DT0013,T024,502,158.27,4115.92,75335.62,45014.34,30321.28
S000123,20251126,P030,D0135,DT0092,T024,498,74.93,1496.01,35819.13,21080.34,14738.79
S000124,20240119,P026,D0142,DT0041,T019,83,107.54,670.91,8254.91,5879.72,2375.19
S000125,20240929,P006,D0041,DT0037,T009,288,53.47,93.0,15306.36,6834.24,8472.12
S000126,20231012,P034,D0154,DT0020,T021,729,139.82,2908.44,99020.34,50439.51,48580.83
S000127,20250616,P026,D0141,DT0087,T013,508,105.13,3242.78,50163.26,35986.72,14176.54
S000128,20250715,P003,D0024,DT0044,T015,98,135.33,501.3,12761.04,6717.9,6043.14
S000129,20251001,P004,D0005,DT0014,T007,344,73.97,388.24,25057.44,16181.76,8875.68
S000130,20230903,P030,D0287,DT0087,T013,391,76.09,624.08,29127.11,16551.03,12576.08
S000131,20251105,P024,D0278,DT0008,T029,117,204.14,1604.61,22279.77,9912.24,12367.53
S000132,20251213,P002,D0022,DT0047,T012,89,309.88,609.11,26970.21,16464.11,10506.1
S000133,20250319,P031,D0282,DT0016,T023,58,141.03,565.97,7613.77,4019.98,3593.79
S000134,20250118,P006,D0026,DT0061,T005,650,54.64,2045.53,33470.47,15424.5,18045.97
S000135,20240523,P023,D0109,DT0047,T007,137,152.33,1407.82,19461.39,11388.81,8072.58
S000136,20250525,P026,D0147,DT0002,T017,494,101.86,1372.46,48946.38,34994.96,13951.42
S000137,20241206,P022,D0281,DT0036,T023,602,159.52,1716.96,94314.08,43488.48,50825.6
S000138,20230427,P004,D0007,DT0029,T014,252,77.91,1487.74,18145.58,11854.08,6291.5
S000139,20240602,P040,D0189,DT0085,T028,30,1020.24,995.03,29612.17,16554.9,13057.27
S000140,20230804,P003,D0009,DT0002,T018,362,132.57,1540.44,46449.9,24815.1,21634.8
S000141,20240128,P006,D0041,DT0084,T009,279,51.81,945.78,13509.21,6620.67,6888.54
S000142,20241218,P050,D0238,DT0028,T024,500,39.62,900.68,18909.32,10935.0,7974.32
S000143,20240806,P035,D0251,DT0007,T005,231,176.86,2408.15,38446.51,25382.28,13064.23
S000144,20231128,P010,D0038,DT0010,T007,294,169.0,2720.97,46965.03,21764.82,25200.21
S000145,20240701,P022,D0112,DT0048,T018,141,155.95,362.64,21626.31,10185.84,11440.47
S000146,20240917,P013,D0061,DT0069,T010,428,47.84,1381.29,19094.23,11585.96,7508.27
S000147,20250102,P006,D0289,DT0009,T012,108,54.2,113.89,5739.71,2562.84,3176.87
S000148,20250109,P010,D0282,DT0030,T023,85,159.34,196.06,13347.84,6292.55,7055.29
S000149,20251004,P004,D0003,DT0050,T002,685,76.52,3537.62,48878.58,32222.4,16656.18
S000150,20230525,P040,D0251,DT0085,T005,85,1018.93,1115.81,85493.24,46905.55,38587.69
S000151,20251229,P034,D0158,DT0043,T014,113,140.51,29.76,15847.87,7818.47,8029.4
S000152,20230131,P050,D0243,DT0001,T007,642,40.01,647.92,25038.5,14040.54,10997.96
S000153,20250322,P009,D0028,DT0096,T026,149,37.32,188.33,5372.35,3482.13,1890.22
S000154,20250708,P032,D0171,DT0064,T001,654,37.4,1714.21,22745.39,16186.5,6558.89
S000155,20240226,P002,D0008,DT0098,T026,66,303.36,214.29,19807.47,12209.34,7598.13
S000156,20250819,P034,D0173,DT0072,T025,567,147.63,4170.99,79535.22,39230.73,40304.49
S000157,20231127,P021,D0104,DT0026,T021,150,83.15,77.78,12394.72,9309.0,3085.72
S000158,20230928,P020,D0093,DT0024,T019,258,105.11,1149.0,25969.38,12964.5,13004.88
S000159,20230224,P001,D0017,DT0097,T028,71,607.14,1979.08,41127.86,24801.01,16326.85
S000160,20251108,P004,D0001,DT0019,T006,242,78.08,268.52,18626.84,11383.68,7243.16
S000161,20250920,P044,D0205,DT0051,T012,710,39.4,785.57,27188.43,15762.0,11426.43
S000162,20241211,P002,D0013,DT0002,T014,51,295.34,1060.37,14001.97,9434.49,4567.48
S000163,20230802,P021,D0105,DT0039,T029,235,86.81,117.07,20283.28,14584.1,5699.18
S000164,20230219,P014,D0051,DT0038,T003,369,134.41,2136.89,47460.4,23844.78,23615.62
S000165,20250110,P021,D0111,DT0082,T015,28,81.53,49.99,2232.85,1737.68,495.17
S000166,20250918,P017,D0099,DT0063,T019,68,127.61,298.21,8379.27,3655.0,4724.27
S000167,20250108,P013,D0061,DT0094,T010,40,47.22,65.77,1823.03,1082.8,740.23
S000168,20250228,P046,D0229,DT0052,T021,484,158.76,3436.66,73403.18,37122.8,36280.38
S000169,20241211,P041,D0225,DT0004,T019,157,148.99,726.63,22664.8,12820.62,9844.18
S000170,20241210,P009,D0027,DT0009,T016,377,34.54,310.1,12711.48,8810.49,3900.99
S000171,20251124,P042,D0272,DT0076,T027,31,185.2,213.96,5527.24,2976.0,2551.24
S000172,20240724,P003,D0011,DT0051,T025,305,131.35,395.63,39666.12,20907.75,18758.37
S000173,20251007,P022,D0107,DT0069,T010,356,159.25,1504.62,55188.38,25717.44,29470.94
S000174,20230810,P001,D0257,DT0035,T030,88,605.59,2711.5,50580.42,30739.28,19841.14
S000175,20231101,P020,D0081,DT0073,T030,252,100.0,704.62,24495.38,12663.0,11832.38
S000176,20231228,P001,D0010,DT0078,T010,76,586.6,3434.42,41147.18,26547.56,14599.62
S000177,20241117,P004,D0251,DT0075,T005,138,72.4,658.7,9332.5,6491.52,2840.98
S000178,20240715,P033,D0156,DT0055,T023,573,160.44,4185.99,87746.13,51380.91,36365.22
S000179,20251114,P044,D0220,DT0041,T024,102,38.28,72.42,3832.14,2264.4,1567.74
S000180,20250224,P037,D0183,DT0089,T006,131,34.91,268.32,4304.89,2432.67,1872.22
S000181,20251112,P020,D0100,DT0027,T013,185,105.65,8.58,19536.67,9296.25,10240.42
S000182,20241018,P003,D0024,DT0019,T025,35,133.58,304.91,4370.39,2399.25,1971.14
S000183,20240831,P037,D0185,DT0034,T017,174,35.84,17.41,6218.75,3231.18,2987.57
S000184,20240822,P035,D0163,DT0036,T001,212,176.32,497.58,36882.26,23294.56,13587.7
S000185,20230304,P034,D0171,DT0082,T010,350,140.04,535.89,48478.11,24216.5,24261.61
S000186,20250116,P026,D0144,DT0087,T013,156,102.0,572.38,15339.62,11051.04,4288.58
S000187,20240523,P035,D0165,DT0082,T015,381,172.51,57.92,65668.39,41864.28,23804.11
S000188,20230712,P032,D0157,DT0052,T007,569,38.61,518.15,21450.94,14082.75,7368.19
S000189,20240722,P044,D0215,DT0042,T017,192,38.62,57.77,7357.27,4262.4,3094.87
S000190,20240126,P036,D0181,DT0019,T003,95,243.32,1456.65,21658.75,13652.45,8006.3
S000191,20241102,P016,D0252,DT0040,T018,635,129.94,3246.86,79265.04,38455.6,40809.44
S000192,20241217,P004,D0020,DT0084,T021,317,73.28,1348.42,21881.34,14911.68,6969.66
S000193,20250102,P001,D0008,DT0012,T026,4,609.3,20.38,2416.82,1397.24,1019.58
S000194,20230726,P033,D0272,DT0064,T027,379,163.37,2412.98,59504.25,33984.93,25519.32
S000195,20230315,P040,D0185,DT0058,T017,76,985.95,1501.14,73431.06,41939.08,31491.98
S000196,20240325,P002,D0009,DT0098,T018,28,314.13,369.71,8425.93,5179.72,3246.21
S000197,20240114,P050,D0230,DT0011,T004,331,38.01,654.69,11926.62,7238.97,4687.65
S000198,20240807,P040,D0199,DT0086,T023,91,973.29,4386.2,84183.19,50216.53,33966.66
S000199,20240304,P020,D0077,DT0039,T018,308,98.64,2060.94,28320.18,15477.0,12843.18
S000200,20251025,P044,D0209,DT0091,T018,133,38.6,222.75,4911.05,2952.6,1958.45
S000201,20231024,P044,D0215,DT0029,T017,463,38.42,1316.91,16471.55,10278.6,6192.95
S000202,20240804,P022,D0111,DT0044,T015,471,153.38,4483.27,67758.71,34025.04,33733.67
S000203,20230527,P011,D0051,DT0012,T008,625,115.12,2012.56,69937.44,38993.75,30943.69
S000204,20250602,P010,D0038,DT0032,T027,181,168.62,54.75,30465.47,13399.43,17066.04
S000205,20251112,P004,D0286,DT0094,T010,319,77.48,816.49,23899.63,15005.76,8893.87
S000206,20240205,P013,D0058,DT0063,T004,400,49.03,650.64,18961.36,10828.0,8133.36
S000207,20250312,P035,D0162,DT0056,T028,665,172.98,2756.42,112275.28,73070.2,39205.08
S000208,20250406,P050,D0231,DT0012,T029,598,40.0,614.71,23305.29,13078.26,10227.03
S000209,20250326,P038,D0183,DT0100,T006,43,62.02,201.71,2465.15,1728.17,736.98
S000210,20250601,P047,D0229,DT0020,T021,88,117.55,4.32,10340.08,5667.2,4672.88
S000211,20250619,P009,D0032,DT0032,T023,34,35.15,75.68,1119.42,794.58,324.84
S000212,20240108,P044,D0218,DT0003,T012,429,39.95,1041.84,16096.71,9523.8,6572.91
S000213,20240513,P040,D0194,DT0057,T022,124,982.99,665.05,121225.71,68426.92,52798.79
S000214,20251023,P048,D0234,DT0054,T005,151,249.58,1353.35,36333.23,16291.39,20041.84
S000215,20240216,P008,D0028,DT0029,T026,70,739.29,1994.43,49755.87,28691.6,21064.27
S000216,20250204,P010,D0036,DT0062,T001,654,166.35,338.59,108454.31,48415.62,60038.69
S000217,20250508,P037,D0188,DT0041,T013,437,35.64,1158.84,14415.84,8115.09,6300.75
S000218,20240703,P043,D0212,DT0077,T007,20,811.44,53.22,16175.58,8825.0,7350.58
S000219,20250908,P033,D0168,DT0010,T012,196,155.8,888.98,29647.82,17575.32,12072.5
S000220,20240713,P033,D0173,DT0023,T025,600,154.71,6033.98,86792.02,53802.0,32990.02
S000221,20241013,P041,D0259,DT0060,T001,152,156.0,912.87,22799.13,12412.32,10386.81
S000222,20251025,P013,D0061,DT0082,T010,445,47.68,1573.31,19644.29,12046.15,7598.14
S000223,20230610,P043,D0205,DT0018,T011,100,840.18,1006.0,83012.0,44125.0,38887.0
S000224,20250628,P021,D0104,DT0077,T021,306,86.18,1359.22,25011.86,18990.36,6021.5
S000225,20240427,P009,D0038,DT0019,T027,268,34.78,114.55,9206.49,6263.16,2943.33
S000226,20251207,P046,D0237,DT0055,T020,257,155.06,2325.15,37525.27,19711.9,17813.37
S000227,20250223,P050,D0245,DT0071,T007,131,37.36,202.94,4691.22,2864.97,1826.25
S000228,20230518,P023,D0107,DT0092,T010,94,152.13,880.75,13419.47,7814.22,5605.25
S000229,20230408,P041,D0252,DT0088,T018,243,149.64,1659.83,34702.69,19843.38,14859.31
S000230,20230407,P025,D0120,DT0030,T024,20,109.96,84.63,2114.57,929.0,1185.57
S000231,20251206,P044,D0205,DT0049,T011,327,39.01,109.14,12647.13,7259.4,5387.73
S000232,20230615,P017,D0084,DT0066,T021,40,131.37,85.86,5168.94,2150.0,3018.94
S000233,20250824,P021,D0121,DT0093,T005,386,81.4,1737.48,29682.92,23955.16,5727.76
S000234,20230617,P003,D0002,DT0088,T005,447,131.77,1750.76,57150.43,30641.85,26508.58
S000235,20240907,P034,D0165,DT0072,T015,110,144.0,1172.15,14667.85,7610.9,7056.95
S000236,20250526,P050,D0231,DT0098,T029,619,39.27,1455.76,22852.37,13537.53,9314.84
S000237,20231031,P039,D0189,DT0026,T007,34,404.29,389.83,13356.03,7210.38,6145.65
S000238,20250819,P002,D0003,DT0002,T002,71,296.2,1370.47,19659.73,13134.29,6525.44
S000239,20231229,P006,D0026,DT0008,T005,477,53.87,1544.44,24151.55,11319.21,12832.34
S000240,20230825,P050,D0230,DT0033,T004,673,38.08,1921.22,23706.62,14718.51,8988.11
S000241,20230719,P031,D0173,DT0019,T025,319,144.86,545.68,45664.66,22109.89,23554.77
S000242,20240619,P032,D0153,DT0036,T020,667,36.98,1777.93,22887.73,16508.25,6379.48
S000243,20240621,P030,D0278,DT0004,T029,122,75.96,459.89,8807.23,5164.26,3642.97
S000244,20230515,P031,D0159,DT0098,T008,177,145.01,1135.41,24531.36,12267.87,12263.49
S000245,20250927,P025,D0125,DT0087,T013,125,110.29,46.42,13739.83,5806.25,7933.58
S000246,20241120,P031,D0286,DT0094,T010,187,139.39,1921.58,24144.35,12960.97,11183.38
S000247,20230111,P044,D0214,DT0055,T020,558,37.7,1205.42,19831.18,12387.6,7443.58
S000248,20230817,P016,D0257,DT0094,T025,610,133.48,4529.31,76893.49,36941.6,39951.89
S000249,20230520,P010,D0026,DT0068,T005,438,165.61,5413.3,67123.88,32425.14,34698.74
S000250,20241012,P003,D0022,DT0043,T012,505,140.86,3380.2,67754.1,34617.75,33136.35
S000251,20250930,P022,D0118,DT0077,T008,38,159.1,316.98,5728.82,2745.12,2983.7
S000252,20251103,P038,D0181,DT0073,T003,291,60.29,571.53,16972.86,11695.29,5277.57
S000253,20230211,P004,D0020,DT0037,T002,110,77.85,280.36,8283.14,5174.4,3108.74
S000254,20250418,P044,D0203,DT0070,T016,390,40.25,51.73,15645.77,8658.0,6987.77
S000255,20251211,P020,D0087,DT0076,T006,75,101.98,276.14,7372.36,3768.75,3603.61
S000256,20250226,P021,D0103,DT0045,T016,272,81.38,444.06,21691.3,16880.32,4810.98
S000257,20231220,P033,D0175,DT0045,T011,654,156.04,2894.99,99155.17,58644.18,40510.99
S000258,20240603,P031,D0171,DT0090,T010,115,135.9,620.7,15007.8,7970.65,7037.15
S000259,20251129,P011,D0053,DT0025,T011,569,117.0,4589.07,61983.93,35499.91,26484.02
S000260,20240119,P038,D0184,DT0043,T012,267,62.8,728.64,16038.96,10730.73,5308.23
S000261,20241202,P021,D0121,DT0098,T005,44,82.45,172.33,3455.47,2730.64,724.83
S000262,20251129,P044,D0201,DT0065,T009,198,38.32,424.56,7162.8,4395.6,2767.2
S000263,20251028,P046,D0247,DT0037,T026,634,161.85,2504.36,100108.54,48627.8,51480.74
S000264,20231001,P042,D0205,DT0014,T011,19,187.35,276.82,3282.83,1824.0,1458.83
S000265,20240617,P046,D0247,DT0051,T029,387,153.32,1520.47,57814.37,29682.9,28131.47
S000266,20251020,P006,D0287,DT0050,T013,569,53.25,707.91,29591.34,13502.37,16088.97
S000267,20250107,P017,D0089,DT0015,T006,326,130.34,1864.02,40626.82,17522.5,23104.32
S000268,20241119,P039,D0197,DT0016,T025,33,403.03,508.22,12791.77,6998.31,5793.46
S000269,20240514,P005,D0024,DT0061,T017,125,81.96,100.88,10144.12,6446.25,3697.87
S000270,20250328,P039,D0266,DT0047,T016,79,430.57,965.06,33049.97,16753.53,16296.44
S000271,20240121,P044,D0284,DT0083,T006,562,37.9,1680.32,19619.48,12476.4,7143.08
S000272,20230403,P008,D0033,DT0038,T003,131,746.35,2990.73,94781.12,53694.28,41086.84
S000273,20241217,P050,D0245,DT0020,T007,365,38.08,71.84,13827.36,7982.55,5844.81
S000274,20230605,P003,D0011,DT0083,T025,280,141.02,1289.43,38196.17,19194.0,19002.17
S000275,20230419,P007,D0041,DT0073,T009,56,872.46,1503.18,47354.58,21275.52,26079.06
S000276,20241120,P016,D0093,DT0021,T009,119,132.42,1239.16,14518.82,7206.64,7312.18
S000277,20250611,P026,D0271,DT0096,T017,356,106.27,888.82,36943.3,25219.04,11724.26
S000278,20250105,P034,D0161,DT0003,T016,463,142.88,2100.67,64052.77,32034.97,32017.8
S000279,20241112,P045,D0211,DT0063,T020,22,61.43,67.66,1283.8,810.7,473.1
S000280,20250804,P050,D0250,DT0058,T002,229,39.88,647.66,8484.86,5008.23,3476.63
S000281,20251106,P040,D0190,DT0024,T013,9,972.96,382.56,8374.08,4966.47,3407.61
S000282,20240708,P043,D0225,DT0050,T019,92,840.78,3527.33,73824.43,40595.0,33229.43
S000283,20240804,P033,D0152,DT0088,T005,588,160.44,5289.03,89049.69,52725.96,36323.73
S000284,20230307,P020,D0084,DT0001,T021,148,98.57,821.2,13767.16,7437.0,6330.16
S000285,20240628,P017,D0092,DT0095,T011,365,127.3,890.26,45574.24,19618.75,25955.49
S000286,20230802,P014,D0060,DT0032,T023,696,127.38,2180.54,86475.94,44975.52,41500.42
